DATE,LMUNRRTTDEM156S
01 January 1980,3.1
01 February 1980,3
01 March 1980,3.1
01 April 1980,3.2
01 May 1980,3.3
01 June 1980,3.3
01 July 1980,3.4
01 August 1980,3.5
01 September 1980,3.5
01 October 1980,3.6
01 November 1980,3.8
01 December 1980,3.9
01 January 1981,4
01 February 1981,4.1
01 March 1981,4.3
01 April 1981,4.4
01 May 1981,4.6
01 June 1981,4.7
01 July 1981,4.9
01 August 1981,5.1
01 September 1981,5.3
01 October 1981,5.5
01 November 1981,5.8
01 December 1981,6
01 January 1982,6.1
01 February 1982,6.2
01 March 1982,6.3
01 April 1982,6.4
01 May 1982,6.5
01 June 1982,6.6
01 July 1982,6.7
01 August 1982,6.9
01 September 1982,7.2
01 October 1982,7.4
01 November 1982,7.6
01 December 1982,7.7
01 January 1983,7.8
01 February 1983,8.1
01 March 1983,8.2
01 April 1983,8.3
01 May 1983,8.3
01 June 1983,8.3
01 July 1983,8.2
01 August 1983,8.2
01 September 1983,8.2
01 October 1983,8.2
01 November 1983,8.1
01 December 1983,8.1
01 January 1984,8
01 February 1984,8
01 March 1984,8
01 April 1984,8.1
01 May 1984,8.1
01 June 1984,8.1
01 July 1984,8.2
01 August 1984,8.2
01 September 1984,8.2
01 October 1984,8.2
01 November 1984,8.1
01 December 1984,8.1
01 January 1985,8.2
01 February 1985,8.2
01 March 1985,8.2
01 April 1985,8.3
01 May 1985,8.3
01 June 1985,8.2
01 July 1985,8.2
01 August 1985,8.2
01 September 1985,8.1
01 October 1985,8.1
01 November 1985,8.2
01 December 1985,8.2
01 January 1986,8.1
01 February 1986,8.1
01 March 1986,8.1
01 April 1986,8
01 May 1986,8
01 June 1986,7.9
01 July 1986,7.8
01 August 1986,7.8
01 September 1986,7.7
01 October 1986,7.7
01 November 1986,7.7
01 December 1986,7.7
01 January 1987,7.8
01 February 1987,7.8
01 March 1987,7.9
01 April 1987,7.9
01 May 1987,7.8
01 June 1987,7.9
01 July 1987,7.9
01 August 1987,7.9
01 September 1987,7.9
01 October 1987,7.9
01 November 1987,7.9
01 December 1987,8
01 January 1988,7.9
01 February 1988,7.9
01 March 1988,8
01 April 1988,7.9
01 May 1988,7.9
01 June 1988,7.9
01 July 1988,7.8
01 August 1988,7.8
01 September 1988,7.7
01 October 1988,7.6
01 November 1988,7.5
01 December 1988,7.4
01 January 1989,7.3
01 February 1989,7.2
01 March 1989,7.1
01 April 1989,7.2
01 May 1989,7.2
01 June 1989,7.1
01 July 1989,7
01 August 1989,7
01 September 1989,7
01 October 1989,6.9
01 November 1989,7.1
01 December 1989,7
01 January 1990,6.8
01 February 1990,6.7
01 March 1990,6.6
01 April 1990,6.6
01 May 1990,6.5
01 June 1990,6.5
01 July 1990,6.4
01 August 1990,6.3
01 September 1990,6.2
01 October 1990,6.1
01 November 1990,6
01 December 1990,5.9
01 January 1991,5.7
01 February 1991,5.7
01 March 1991,5.6
01 April 1991,5.6
01 May 1991,5.6
01 June 1991,5.6
01 July 1991,5.7
01 August 1991,5.7
01 September 1991,5.7
01 October 1991,5.7
01 November 1991,5.6
01 December 1991,5.7
01 January 1992,7.6
01 February 1992,7.4
01 March 1992,7.4
01 April 1992,7.5
01 May 1992,7.6
