DATE,LMUNRRTTCHM156S
01 January 1980,0.24241302
01 February 1980,0.23229851
01 March 1980,0.22416909
01 April 1980,0.2164528
01 May 1980,0.20902421
01 June 1980,0.20253414
01 July 1980,0.19719041
01 August 1980,0.19238184
01 September 1980,0.18783734
01 October 1980,0.18385712
01 November 1980,0.18133999
01 December 1980,0.18000495
01 January 1981,0.1730924
01 February 1981,0.170447
01 March 1981,0.16670336
01 April 1981,0.16374195
01 May 1981,0.1633811
01 June 1981,0.16621282
01 July 1981,0.1723187
01 August 1981,0.18116985
01 September 1981,0.19282262
01 October 1981,0.20757005
01 November 1981,0.22391758
01 December 1981,0.23984671
01 January 1982,0.25474372
01 February 1982,0.27103427
01 March 1982,0.29198941
01 April 1982,0.31856017
01 May 1982,0.35037246
01 June 1982,0.38593767
01 July 1982,0.42562504
01 August 1982,0.47229561
01 September 1982,0.52547195
01 October 1982,0.58151331
01 November 1982,0.63833085
01 December 1982,0.69496823
01 January 1983,0.74974379
01 February 1983,0.80160157
01 March 1983,0.85075282
01 April 1983,0.89322845
01 May 1983,0.92453703
01 June 1983,0.9458884
01 July 1983,0.9591894
01 August 1983,0.96736484
01 September 1983,0.97278747
01 October 1983,0.97638016
01 November 1983,0.97893345
01 December 1983,0.98758924
01 January 1984,1.01286123
01 February 1984,1.05440177
01 March 1984,1.10373236
01 April 1984,1.15203626
01 May 1984,1.19044502
01 June 1984,1.21401026
01 July 1984,1.22140898
01 August 1984,1.21526839
01 September 1984,1.19906125
01 October 1984,1.17837452
01 November 1984,1.15652218
01 December 1984,1.1321282
01 January 1985,1.10570445
01 February 1985,1.07944019
01 March 1985,1.05287584
01 April 1985,1.02587158
01 May 1985,1.00019557
01 June 1985,0.97742154
01 July 1985,0.95825982
01 August 1985,0.94214646
01 September 1985,0.92800231
01 October 1985,0.91514394
01 November 1985,0.90438493
01 December 1985,0.89570922
01 January 1986,0.88634504
01 February 1986,0.8755981
01 March 1986,0.86327563
01 April 1986,0.84986789
01 May 1986,0.83617517
01 June 1986,0.82368426
01 July 1986,0.81493902
01 August 1986,0.81028343
01 September 1986,0.80833391
01 October 1986,0.80717319
01 November 1986,0.80686205
01 December 1986,0.80850953
01 January 1987,0.81081479
01 February 1987,0.81173627
01 March 1987,0.81136302
01 April 1987,0.81098725
01 May 1987,0.81050062
01 June 1987,0.80872047
01 July 1987,0.80440973
01 August 1987,0.79674029
01 September 1987,0.7872428
01 October 1987,0.77804744
01 November 1987,0.76962691
01 December 1987,0.76280183
01 January 1988,0.7590938
01 February 1988,0.75839636
01 March 1988,0.75814301
01 April 1988,0.75590576
01 May 1988,0.75056291
01 June 1988,0.74133476
01 July 1988,0.72803831
01 August 1988,0.71120839
01 September 1988,0.69216875
01 October 1988,0.67231184
01 November 1988,0.6527485
01 December 1988,0.63344841
01 January 1989,0.61506374
01 February 1989,0.59915331
01 March 1989,0.58664746
01 April 1989,0.57686733
01 May 1989,0.56864588
01 June 1989,0.56078017
01 July 1989,0.55338333
01 August 1989,0.54667141
01 September 1989,0.54123674
01 October 1989,0.5369516
01 November 1989,0.53389429
01 December 1989,0.53174765
01 January 1990,0.45196447
01 February 1990,0.44928094
01 March 1990,0.4468685
01 April 1990,0.44640041
01 May 1990,0.44949117
01 June 1990,0.45783483
01 July 1990,0.47273998
01 August 1990,0.49526535
01 September 1990,0.52612302
01 October 1990,0.56470894
01 November 1990,0.60961297
01 December 1990,0.65970386
01 January 1991,0.71477427
01 February 1991,0.77394329
01 March 1991,0.83528607
01 April 1991,0.89748043
01 May 1991,0.96057004
01 June 1991,1.02534212
01 July 1991,1.09351737
01 August 1991,1.16657249
01 September 1991,1.24633668
01 October 1991,1.33596529
01 November 1991,1.43954902
01 December 1991,1.55895007
01 January 1992,1.69174385
01 February 1992,1.83417768
01 March 1992,1.98188642
01 April 1992,2.1320004
01 May 1992,2.28342102
01 June 1992,2.441954
01 July 1992,2.61218037
01 August 1992,2.79369064
01 September 1992,2.97891661
01 October 1992,3.15554729
01 November 1992,3.31636364
01 December 1992,3.46743667
01 January 1993,3.62325664
01 February 1993,3.79467625
01 March 1993,3.98372997
01 April 1993,4.18527532
01 May 1993,4.38871039
01 June 1993,4.57847473
01 July 1993,4.73991593
01 August 1993,4.86215484
01 September 1993,4.93930067
01 October 1993,4.97674592
01 November 1993,4.98269056
01 December 1993,4.96302878
01 January 1994,4.9251124
01 February 1994,4.87926068
01 March 1994,4.84117118
01 April 1994,4.81714174
01 May 1994,4.79934138
01 June 1994,4.77451162
01 July 1994,4.73226933
01 August 1994,4.674086
01 September 1994,4.60929301
01 October 1994,4.5433418
01 November 1994,4.47619017
01 December 1994,4.40881357
01 January 1995,4.34804938
01 February 1995,4.29854246
01 March 1995,4.26383515
01 April 1995,4.2447558
01 May 1995,4.22664284
01 June 1995,4.19284671
01 July 1995,4.20610009
01 August 1995,4.21488046
01 September 1995,4.17310468
01 October 1995,4.20847466
01 November 1995,4.22020943
01 December 1995,4.20698365
01 January 1996,4.24246407
01 February 1996,4.29752084
01 March 1996,4.37110475
01 April 1996,4.45021089
01 May 1996,4.52766037
01 June 1996,4.60013982
01 July 1996,4.6667657
01 August 1996,4.73822354
01 September 1996,4.84032983
01 October 1996,4.99978463
01 November 1996,5.07687516
01 December 1996,5.12726564
01 January 1997,5.29784776
01 February 1997,5.33987204
01 March 1997,5.35124786
01 April 1997,5.37303311
01 May 1997,5.37314356
01 June 1997,5.34594651
01 July 1997,5.28498093
01 August 1997,5.24475138
01 September 1997,5.16324306
01 October 1997,4.9886297
01 November 1997,4.87558936
01 December 1997,4.77767997
01 January 1998,4.74418756
01 February 1998,4.58746627
01 March 1998,4.41450959
01 April 1998,4.22763684
01 May 1998,4.03110017
01 June 1998,3.84304015
01 July 1998,3.67839444
01 August 1998,3.53868166
01 September 1998,3.42392943
01 October 1998,3.33460713
01 November 1998,3.26715292
01 December 1998,3.21353193
01 January 1999,3.15927588
01 February 1999,3.08997172
01 March 1999,3.00349337
01 April 1999,2.91074728
01 May 1999,2.82321971
01 June 1999,2.7441964
01 July 1999,2.67271095
01 August 1999,2.60191578
01 September 1999,2.52725504
01 October 1999,2.45044062
01 November 1999,2.37597316
01 December 1999,2.30567499
01 January 2000,2.0548327
01 February 2000,1.99701646
01 March 2000,1.94274723
01 April 2000,1.89716817
01 May 2000,1.86392763
01 June 2000,1.83978264
01 July 2000,1.81763917
01 August 2000,1.78913643
01 September 2000,1.74951127
01 October 2000,1.69772495
01 November 2000,1.6401114
01 December 2000,1.5858675
01 January 2001,1.5457103
01 February 2001,1.53099021
01 March 2001,1.54391146
01 April 2001,1.57922953
01 May 2001,1.62311109
